Primary-general indicator,Candidate ID,Chamber Endorsed?,Main Street Endorsed?,Tea Party Endorsed?,House Freedom Support?,Koch Support?,Club for Growth Endorsed?,Susan B. Anthony Endorsed?,Right to Life Endorsed?,NRA Endorsed?,Great America Endorsed?,Bannon Endorsed?,Trump Endorsed?,Rep Party Support?,No Labels Support?,VoteVets Endorsed?,WFP Endorsed?,Indivisible Endorsed?,PCCC Endorsed?,Justice Dems Endorsed?,Our Revolution Endorsed?,Sanders Endorsed?,Warren Endorsed? ,Biden Endorsed?,Guns Sense Candidate?,Emily Endorsed?,Party Support?,Obama Alum?,STEM?,Self-Funder?,Elected Official?,LGBTQ?,Veteran?,Race,Won Primary,Primary %,Partisan Lean,General Status,Primary Runoff Status,Primary Status,Race Primary Election Date,Race Type,Office Type,District,State,Avg Donation Size
P2018,H8FL15222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.1,0.0,None,None,Lost,8/28/18,Regular,Representative,U.S. House Florida District 15,FL,2945.3333333333335
P2018,H8MI13284,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Nonwhite,0,6.3000002,60.720001,None,None,Lost,8/7/18,Regular,Representative,U.S. House Michigan District 13,MI,2055.5555555555557
P2018,H6CA19113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,Nonwhite,1,100.0,11.87,On the Ballot,None,Advanced,6/5/18,Regular,Representative,U.S. House California District 21,CA,2333.3333333333335
P2018,H8TX02166,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,27.42,0.0,On the Ballot,Advanced,Advanced,3/6/18,Regular,Representative,U.S. House Texas District 2,TX,5686.482758620689
P2018,H8CO06229,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,White,1,65.940002,5.420000099999998,On the Ballot,None,Advanced,6/26/18,Regular,Representative,U.S. House Colorado District 6,CO,1992.0714285714287
P2018,H8SC01116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,White,1,71.5,-16.879998999999998,On the Ballot,None,Advanced,6/12/18,Regular,Representative,U.S. House South Carolina District 1,SC,1000.0
P2018,H0OK01089,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.17,0.0,None,None,Lost,6/26/18,Regular,Representative,U.S. House Oklahoma District 1,OK,1304.0
P2018,H8CA44109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41.47,0.0,None,None,Lost,6/5/18,Regular,Representative,U.S. House California District 44,CA,2000.0
P2018,H8PA15286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,100.0,0.0,On the Ballot,None,Advanced,5/15/18,Regular,Representative,U.S. House Pennsylvania District 4,PA,1500.0
P2018,H8KS03155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,Nonwhite,1,37.299999,-4.0100002,On the Ballot,None,Advanced,8/7/18,Regular,Representative,U.S. House Kansas District 3,KS,28638.153846153848
P2018,H8PA05287,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,Nonwhite,0,3.98,25.540001,None,None,Lost,5/15/18,Regular,Representative,U.S. House Pennsylvania District 5,PA,86.0
P2018,H8NM01406,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,White,0,3.8,13.77,None,None,Lost,6/5/18,Regular,Representative,U.S. House New Mexico District 1,NM,2500.0
P2018,H8PA04116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,White,1,72.559998,15.27,On the Ballot,None,Advanced,5/15/18,Regular,Representative,U.S. House Pennsylvania District 4,PA,6156.430769230769
P2018,H8NY03151,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,100.0,0.0,On the Ballot,None,Advanced,6/26/18,Regular,Representative,U.S. House New York District 3,NY,1333.3333333333333
P2018,H8NY19181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,Nonwhite,1,21.99,-6.079999900000002,On the Ballot,None,Advanced,6/26/18,Regular,Representative,U.S. House New York District 19,NY,6750.083333333333
P2018,H8CA43143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.54,0.0,None,None,Lost,6/5/18,Regular,Representative,U.S. House California District 43,CA,0.0
P2018,H8CA01257,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,White,1,43.650002,-21.379999,On the Ballot,None,Advanced,6/5/18,Regular,Representative,U.S. House California District 1,CA,261.5
